text,label
"Olá, estou com problemas para acessar o sistema desde ontem. Poderiam verificar?",1
"Bom dia, meu pedido ainda consta como em processamento. Poderiam me atualizar?",1
"Preciso alterar meus dados cadastrais, podem me orientar como fazer?",1
"Minha fatura veio com um valor diferente do contratado, preciso de ajuda.",1
"Gostaria de saber como funciona a integração com a API do sistema.",1
"Estou recebendo um erro ao tentar gerar relatórios. Podem me ajudar?",1
"Tenho um chamado em aberto e gostaria de saber o status.",1
"Não consigo redefinir minha senha, o link não funciona.",1
"Existe previsão para a correção do problema relatado ontem?",1
"Quero cancelar minha assinatura e preciso de instruções.",1
"Bom dia, o sistema ficará fora do ar para manutenção hoje?",1
"Preciso de suporte para configurar meu perfil de usuário.",1
"Minha conta foi bloqueada após várias tentativas de login.",1
"Gostaria de atualizar o plano contratado. Como proceder?",1
"Tenho dúvidas sobre as funcionalidades do módulo financeiro.",1
"Preciso de ajuda",1
"Pode me ajudar?",1
"Estou com um problema",1
"Necessito de suporte",1
"Preciso de suporte técnico",1
"Ajuda urgente",1
"Suporte",1 


"Obrigado pelo rápido atendimento!",0
"Agradeço a atenção e o suporte prestado.",0
"Parabéns pelo excelente serviço oferecido.",0
"Bom dia, desejo uma ótima semana a todos.",0
"Feliz Natal para toda a equipe!",0
"Passando apenas para agradecer pela ajuda anterior.",0
"Mensagem recebida, obrigado.",0
"Excelente trabalho da equipe, continuem assim.",0
"Boa tarde, tudo certo por aqui.",0
"Apenas confirmando o recebimento do email.",0
"Obrigado, problema resolvido.",0
"Tenham um ótimo fim de semana.",0
"Mensagem enviada apenas para conhecimento.",0
"Agradeço novamente pela atenção.",0
"Sem mais, obrigado.",0
"Obrigado",0
"Bom dia",0
"Agradeço a atenção",0
"Mensagem recebida",0
